sample,mismatch
Training_1,0
Training_2,1
Training_3,0
Training_4,0
Training_5,0
Training_6,0
Training_7,0
Training_8,0
Training_9,0
Training_10,1
Training_11,0
Training_12,0
Training_13,1
Training_14,0
Training_15,0
Training_16,0
Training_17,0
Training_18,0
Training_19,0
Training_20,0
Training_21,0
Training_22,0
Training_23,0
Training_24,0
Training_25,0
Training_26,0
Training_27,0
Training_28,0
Training_29,0
Training_30,0
Training_31,0
Training_32,0
Training_33,0
Training_34,0
Training_35,0
Training_36,0
Training_37,0
Training_38,0
Training_39,1
Training_40,0
Training_41,0
Training_42,0
Training_43,0
Training_44,0
Training_45,0
Training_46,0
Training_47,1
Training_48,0
Training_49,0
Training_50,0
Training_51,0
Training_52,0
Training_53,0
Training_54,0
Training_55,0
Training_56,0
Training_57,0
Training_58,1
Training_59,0
Training_60,0
Training_61,0
Training_62,0
Training_63,0
Training_64,0
Training_65,1
Training_66,0
Training_67,0
Training_68,1
Training_69,0
Training_70,0
Training_71,0
Training_72,1
Training_73,0
Training_74,0
Training_75,0
Training_76,0
Training_77,0
Training_78,1
Training_79,1
Training_80,1
